,Postleitzahl,Ort,Name,Straße,Anzahl Empfehlungen,Latitude,Longitude,Komplette Addresse
0,01069,Dresden,Willy Vanilli's,Helmut-Schön-Allee 2,3,51.0424575,13.7496928,"Willy Vanilli's, Helmut-Schön-Allee 2, 01069 Dresden"
1,01097,Dresden,Tiki im Hecht,Rudolf-Leonhard-Str. 26,7,51.07374,13.74898,"Tiki im Hecht, Rudolf-Leonhard-Str. 26, 01097 Dresden"
2,01099,Dresden,I Love YO,Rothenburger Str. 36,3,51.0654057,13.7534733,"I Love YO, Rothenburger Str. 36, 01099 Dresden"
3,01099,Dresden,Neumanns Tiki Eisbar & Lounge,Görlitzer Str. 21,6,51.0675499,13.7544102,"Neumanns Tiki Eisbar & Lounge, Görlitzer Str. 21, 01099 Dresden"
4,01099,Dresden,Mimi's Eismanufaktur,Alaunstr. 57,39,51.06786,13.75241,"Mimi's Eismanufaktur, Alaunstr. 57, 01099 Dresden"
5,01127,Dresden,Nepple Eis,Torgauer Str. 5,35,51.0757367,13.7222356,"Nepple Eis, Torgauer Str. 5, 01127 Dresden"
6,01139,Dresden,Eiscafe Dolce Vita,Peschelstr. 33,3,51.0850192,13.6962112,"Eiscafe Dolce Vita, Peschelstr. 33, 01139 Dresden"
7,01187,Dresden,Eiscafé Piccolino,Coschützer Str. 10,4,51.0285959,13.706017,"Eiscafé Piccolino, Coschützer Str. 10, 01187 Dresden"
8,01217,Dresden,Café Jähnig,Geinitzstr. 16,4,51.03036,13.74516,"Café Jähnig, Geinitzstr. 16, 01217 Dresden"
9,01219,Dresden,Gelatu und Caffé Edelweiss,Spitzwegstr. 67,3,51.0160099999999,13.76789,"Gelatu und Caffé Edelweiss, Spitzwegstr. 67, 01219 Dresden"
10,01259,Dresden,Gasthaus Altkleinzschachwitz No. 1,Altkleinzschachwitz 1,32,51.004501,13.8499125,"Gasthaus Altkleinzschachwitz No. 1, Altkleinzschachwitz 1, 01259 Dresden"
11,01277,Dresden,Cafe Lösch,Niederwaldstr. 22,35,51.04798,13.80123,"Cafe Lösch, Niederwaldstr. 22, 01277 Dresden"
12,01309,Dresden,SchillerGarten,Schillerplatz 9,7,51.0525321999999,13.8085918,"SchillerGarten, Schillerplatz 9, 01309 Dresden"
13,01326,Dresden,Bäckerei Wippler,Söbringer Str. 1,3,51.0062,13.87501,"Bäckerei Wippler, Söbringer Str. 1, 01326 Dresden"
14,01328,Dresden,Bauernhof-Eis,Bautzner Landstr. 273,3,51.0608145,13.8816217,"Bauernhof-Eis, Bautzner Landstr. 273, 01328 Dresden"
15,02625,Bautzen,Eisdealer,Seminarstr. 25,27,51.17769,14.42554,"Eisdealer, Seminarstr. 25, 02625 Bautzen"
16,02708,Schönbach,Cafe Oberlausitz,Am Teichdamm 6,11,51.06245,14.56978,"Cafe Oberlausitz, Am Teichdamm 6, 02708 Schönbach"
17,02739,Eibau,Milchbar-Cafe,Hauptstr. 112a,4,50.9834969,14.6617998,"Milchbar-Cafe, Hauptstr. 112a, 02739 Eibau"
18,02943,Boxberg/Oberlausitz,Gruners,Schloßstr. 1,66,51.36564,14.51058,"Gruners, Schloßstr. 1, 02943 Boxberg/Oberlausitz"
19,03046,Cottbus,Eiscafé Da Capo,Marktstr. 14,14,51.7605359,14.3330472,"Eiscafé Da Capo, Marktstr. 14, 03046 Cottbus"
20,03096,Burg (Spree),Urban's,Hauptstr. 39,6,51.8340758999999,14.1480087,"Urban's, Hauptstr. 39, 03096 Burg (Spree)"
21,03130,Spremberg,Marktcafe,Amaliengasse 1,19,51.57147,14.37843,"Marktcafe, Amaliengasse 1, 03130 Spremberg"
22,04105,Leipzig,Softeis Eugen Hendrich,Waldstr. 38,5,51.34475,12.358,"Softeis Eugen Hendrich, Waldstr. 38, 04105 Leipzig"
23,04109,Leipzig,TONIS,Thomaskirchhof 17,26,51.3388749999999,12.3720288,"TONIS, Thomaskirchhof 17, 04109 Leipzig"
24,04109,Leipzig,San Remo,Nikolaistr. 1,23,51.3399,12.37785,"San Remo, Nikolaistr. 1, 04109 Leipzig"
25,04109,Leipzig,Milchbar Pinguin,Katharinenstr. 4,16,51.3411914,12.3751109,"Milchbar Pinguin, Katharinenstr. 4, 04109 Leipzig"
26,04109,Leipzig,La Grotta,Ratsfreischulstr. 6-8,5,51.3378728,12.3725639,"La Grotta, Ratsfreischulstr. 6-8, 04109 Leipzig"
27,04157,Leipzig,Leipziger Eishaus,Coppistraße,4,51.3669,12.3764,"Leipziger Eishaus, Coppistraße, 04157 Leipzig"
